Truth(English),Truth (Telugu),Predicted
prozect,ప్రాజెక్ట్,ప్రాజెక్ట్
ladakh,లడఖ్,లడై్
darmapuri,ధర్మపురి,దర్మపురి
behuria,బెహూరియా,బెహూరియా
samudramulo,సముద్రములో,సముద్రములో
olympia,ఒలింపియా,ఒలింపియా
tanikhilu,తనిఖీలు,తనిఖీలు
mantapamu,మంటపము,మంటపము
caart,కార్ట్,కార్ట్
oorugallunu,ఓరుగల్లును,ఊరుగల్లును
criyalu,క్రియలు,క్రియలు
ivvaalanna,ఇవ్వాలన్న,ఇవ్వాలన్న
nirnayamtho,నిర్ణయంతో,నిర్ణయంతో
brahmaanda,బ్రహ్మాండ,బ్రహ్మాండ
parinamistaaru,పరిణమిస్తారు,పరిణమిస్తారు
pacifica,పసిఫిక,పసిఫిక
chengalpattu,చెంగల్పట్టు,చెంగల్పట్టు
pinni,పిన్ని,పిన్ని
behar,బెహర్,బెహర్
buldhana,బుల్ధనా,బుల్ధనా
chinnadi,చిన్నది,చిన్నది
angikarinche,అంగీకరించే,అంగీకరించే
praananga,ప్రాణంగా,ప్రాణంగా
vaivaswatha,వైవస్వత,వైవస్వత
truptimundu,తృప్తిముందు,తృప్తిముందు
daallaas,డల్లాస్,డా్లాస్
whiski,విస్కీ,విస్కీ
mishato,మిషతో,మిషతో
compose,కంపోజ్,కంపోజ్
utilities,యుటిలిటీస్,ఊతటిలిటీస్
viiriddarinii,వీరిద్దరినీ,వీరిద్దరినీ
frederick,ఫ్రెడరిక్,ఫ్రెడరిక్
prabho,ప్రభో,ప్రభో
gnaapamgaa,జ్ఞాపంగా,జ్ఞాపంగా
mathew,మాథ్యూ,మాథ్యూ
madrasuku,మద్రాసుకు,మద్రాసుకు
katihar,కటిహర్,కటిహర్
heeraakood,హీరాకూడ్,హీరాకూడ్
nobul,నోబుల్,నోబుల్
dharpanam,దర్పణం,ధర్పణం
annintinii,అన్నింటినీ,అన్నింటినీ
uttarakoriyaa,ఉత్తరకొరియా,ఉత్తరకొరియా
vondala,వొందల,వొందల
yedhurkonendhuku,ఎదుర్కొనేందుకు,యధుర్కొనేందుకు
digudu,దిగుడు,దిగుడు
lancaster,లన్కాస్టర్,లన్కాస్టర్
undo,ఉందో,ఉందో
yemmiganur,ఎమ్మిగనూర్,యజ్మిగనూర్
poll,పోల్,పోల్
saiqil,సైకిల్,సైలోల్
sanoop,సనూప్,సనోప్
freeman,ఫ్రీమ్యాన్,ఫ్రీమనన
chaddi,చద్ది,చా్ిి
gurnani,గుర్ణని,గుర్ననని
akolkar,అకోల్కర్,అకోల్కా్
gilmore,గిల్మోర్,గిల్మోరర
teesenduku,తీసేందుకు,తీసెందుకుక
manasulone,మనసులోనే,మనయులలమననే
kadhalugaa,కధలుగా,కధాలుగా
prachaaraamsham,ప్రచారాంశం,ప్రచారారాంబూ
whistle,విజిల్,విస్స్్్
prateecharyalo,ప్రతీచర్యలో,ప్రతీచ్చర్యలో
saanukoolata,సానుకూలత,సానుకోల
aerpadaka,ఏర్పడక,ఆర్పడడక
syracuse,సైరక్యూస్,సిర్రకుసే
rasindi,రాసింది,రాసింది
saralatha,సరళత,సరలతత
boksing,బాక్సింగ్,బోక్సిిిిి
vydyamlo,వైద్యంలో,విద్యాలాలో
oraacle,ఒరాకిల్,ఒరాల్ల్ల
chha,ఛ,చ్
aemaathram,ఏమాత్రం,ఆదాత్రారం
sabhalloo,సభల్లో,సాాల్లలో
costa,కోస్తా,కోస్ట
varninchukuntunnaaru,వర్ణించుకుంటున్నారు,వార్నించుకుుటనన్నారు
fluuid,ఫ్లూయిడ్,ఫిలూయిి్
cheppay,చెప్పే,చెప్ప్ట
daaktarugaa,డాక్టరుగా,దాక్తరుగాగ
ghatane,ఘటనే,ఘుతనన
raallapalli,రాళ్ళపల్లి,రాల్లపాల్లిి
poosi,పూసి,పోసి
bhatnagar,భట్నాగర్,భా్ననగార్
kalugadu,కలుగదు,కలుగగడు
parishkarinchenduku,పరిష్కరించేందుకు,పరిష్కరించించేందుకకు
vijayamu,విజయము,విజయమమ
charithrakaarula,చరిత్రకారుల,చరిత్్రాారుల
podhupunu,పొదుపును,పోధ్పుపును
azhar,అజహర్,అహరర్
natistuunee,నటిస్తూనే,నాటిస్తూని
coimbatore,కోయంబత్తూర్,కోయయతసాోరర
rudraa,రుద్రా,రుద్రా
sanchaara,సంచార,సంచారార
sofhiya,సోఫియా,సోరియయయ
sareeramlooki,శరీరంలోకి,సరీరంలోోో
mandalini,మండలిని,మందలిిి
ketkhup,కెచప్,కెట్కుప్ప్
kachheri,కచ్చేరీ,కచ్చేరరర
dheepaala,దీపాల,ధీపాలాల
paibhaagaanni,పైభాగాన్ని,పైభాగాగాన్ని
tallidandrulato,తల్లిదండ్రులతో,తా్లిదంద్్్ులలో
shoes,షూస్,శీస్
shaw,షా,శావ్
maakiitopaatu,మాకీతోపాటు,మాకితోపాపాతు
magavaallu,మగవాళ్ళు,మాగాాల్లు
imtaku,ఇంతకు,ఇంటకు
sambhaashanalalo,సంభాషణలలో,సంభాషాషనలలో
pope,పోప్,పోపి
taggipoyaayi,తగ్గిపోయాయి,తగగగిపోయాయాయి
phenix,ఫీనిక్స్,ఫెనిక్
dhelleeni,ఢిల్లీని,ధిల్లీనిని
madraasuloo,మద్రాసులో,మా్్ాససలలో
yogyudagunu,యోగ్యుడగును,యోగ్యుడగును
teere,తీరే,తీరీ
swain,స్వెయిన్,స్వెయిన్
theesiveyadaniki,తీసివేయడానికి,తీసివేయడానికి
jaateeyasthaayilo,జాతీయస్థాయిలో,జాతీయస్థాయిలో
stets,స్టేట్స్,స్టేట్స్
pottaloo,పొట్టలో,పొట్టలో
navvulaatani,నవ్వులాటని,నవ్వులాటని
radha,రాధ,రాధ
koppadataarani,కోప్పడతారని,కోప్పడతారని
cortes,కోర్టెస్,కోర్టెస్
pratipabha,ప్రతిపభ,ప్రతిపభ
sathyamgaa,సత్యంగా,సత్యంగా
vyarthamavutunnaayi,వ్యర్థమవుతున్నాయి,వ్యర్థమవుతున్నాయి
pyramid,పిరమిడ్,పిరమిడ్
manchikanti,మంచికంటి,మంచికంటి
bantito,బంతితో,బంతితో
delhiki,ఢిల్లీకి,డిల్లీకి
eastvale,ఎస్త్వలే,ఎస్త్వలే
pettoddani,పెట్టొద్దని,పెట్టొద్దని
bishnupur,బిష్ణుపూర్,బిష్ణుపూర్
fairfield,ఫెయిర్ఫీల్డ్,ఫైయిర్ఫీల్డ్
mantakalustunnayi,మంటకలుస్తున్నాయి,మంటకలుస్తున్నాయి
reservation,రిజర్వేషన్,రిజర్వేషన్
nivasanni,నివాసాన్ని,నివాసాన్ని
pinganaashtakamu,పింగనాష్టకము,పింగనాష్టకము
avery,అవెరీ,అవెరీ
uttarayanamu,ఉత్తరాయణము,ఉత్తరాయణము
purapaalaka,పురపాలక,పురపాలక
nishedhinchaadu,నిషేధించాడు,నిషేధించాడు
shaeru,షేరు,షేరు
minerals,మినరల్స్,మినరల్స్
rajamandri,రాజమండ్రి,రాజమండ్రి
deevaalayamunu,దేవాలయమును,దేవాలయమును
vishwasaneeyatha,విశ్వసనీయత,విశ్వసనీయత
darilone,దారిలోనే,దారిలోనే
criyalaku,క్రియలకు,క్రియలకు
logistics,లాజిస్టిక్స్,లాజిస్టిక్స్
rogalu,రోగాలు,రోగాలు
balaheenathalanu,బలహీనతలను,బలహీనతలను
thannina,తన్నిన,తన్నిన
nyaayanirnetagaa,న్యాయనిర్ణేతగా,న్యాయనిర్ణేతగా
chadunuga,చదునుగా,చదునుగా
visheshanam,విశేషణం,విశేషణం
jagaragallu,జాగరాగల్లు,జాగరాగల్లు
jeens,జీన్స్,జీన్స్
richaa,రిచా,రిచా
praantaala,ప్రాంతాల,ప్రాంతాల
yenda,ఎండ,యండ
swaralu,స్వరాలు,స్వరాలు
elina,ఏలిన,ఏలిన
unchaali,ఉంచాలి,ఉంచాలి
shathakam,శతకం,శతకం
raapid,రాపిడ్,రాపిడ్
tesukelutunnaamani,తీసుకెళుతున్నామని,తీసుకెళుతున్నామని
pradarshistunnada,ప్రదర్శిస్తున్నాడా,ప్రదర్శిస్తున్నాడా
penchukunenduku,పెంచుకునేందుకు,పెంచుకునేందుకు
fortis,ఫోర్టిస్,ఫోర్టిస్
tanakuu,తనకూ,తనకూ
yuddavimaanaallo,యుద్ధవిమానాల్లో,యుద్ధవిమానాల్లో
nethaajelo,నేతాజీలో,నేతాజీలో
panicheyinchukunnaarani,పనిచేయించుకున్నారని,పనిచేయించుకున్నారని
spirits,స్పిరిట్స్,స్పిరిట్స్
bhayaanakamgaa,భయానకంగా,భయానకంగా
doopideelu,దోపిడీలు,దోపిడీలు
prakatinchadamloni,ప్రకటించడంలోని,ప్రకటించడంలోని
maharashtra,మహారాష్ట్ర,మాహరశశట్్్్
cheppisthondani,చెప్పిస్తోందని,చెప్పిస్స్ందననని
soto,సోతో,సోతో
dinchanunnadi,దించనున్నది,దించనున్ననది
larson,లార్సన్,లార్సోన్
kundabaddalu,కుండబద్దలు,కుండబథడడ్లలు
dev,దేవ్,దివ్
antaristaaru,అంతరిస్తారు,అంటరిస్తారు
koojaa,కూజా,కూజా
perkonandi,పేర్కొనండి,పెర్కోనంంంది
gehlot,గెహ్లాట్,గెజ్లోత్
duradrushtavashaattu,దురదృష్టవశాత్తు,దురద్రుష్టవభేరాతుతు
dallaas,డల్లాస్,దా్్ాాసస
sangatini,సంగతిని,సంగతిని
marks,మార్క్స్,మార్క్స్
feedeeration,ఫెడరేషన్,ఫీదీరతియి
teesukupovadaaniki,తీసుకుపోవడానికి,తీసుకుపోపోవడానిిి
daggarloeni,దగ్గర్లోని,దగగగర్లలలిని
chandernagore,చండర్నగర్,చండరర్నమమమరే
nalo,నాలో,నాలో
vyooharachanalloonoo,వ్యూహరచనల్లోనూ,వ్యూహరచచచలలల్లోో
leraa,లేరా,లేరా
thathvavethalu,తత్వవేత్తలు,తాట్వవేబలలల
kansal,కాన్సల్,కన్సలల
vaenkatasaastri,వేంకటశాస్త్రి,వేంకటటశాస్్్ని
churchilalo,చర్చిలలో,చూర్చిలలలలో
naaz,నాజ్,నార్
charchinchadaniki,చర్చించడానికి,చరర్చించడనిిిి
nainital,నైనిటాల్,నైనితలల
bannari,బణ్ణారి,బన్ననరర
vibhoodhi,విభూది,విభూహీధి
taati,తాటి,తాటి
guwahati,గౌహతి,గుచాాతి
inappatikee,ఐనప్పటికీ,ఇనప్పటికి
cheppalekapoyaru,చెప్పలేకపోయారు,చెప్పాకలేకపోయారర
leduraa,లేదురా,లేదురారా
aromatics,అరొమ్యటిక్స్,అరోమతిిి్్
ithivrutthaalu,ఇతివృత్తాలు,ఇథివ్రుత్టాలుల
kaasiloo,కాశీలో,కాసిలో
choosinatlayite,చూసినట్లయితే,చూసినత్లలిిి
kaamredlu,కామ్రేడ్లు,కామ్రెద్లుల
keerti,కీర్తి,కీర్తి
rane,రానే,రానే
cheppinatlugaa,చెప్పినట్లుగా,చెప్పినిిట్లుగా
pravesinche,ప్రవేశించే,ప్రవేశింంచేే
godhumalanu,గోధుమలను,గోధ్మామలను
daman,డామన్,దమమన
thalapimchey,తలపించే,తాాాిిచేే
hydrocarba,హైడ్రోకార్బ,హిద్ర్ససస్్్
vitthanam,విత్తనం,విట్టనంం
theesukookundaa,తీసుకోకుండా,తీసుకోకోకుండా
sind,సింద్,సిండ్
kalraa,కలరా,కల్రా
gosangi,గోసంగి,గోసంంగి
sheershikaku,శీర్షికకు,శీర్ష్లికకు
teelchadam,తేల్చడం,తీల్చడంం
betul,బెటుల్,బెటుల్
dibrugarh,డిబ్రూగర్,దిబ్రుగారర
kochi,కొచ్చి,కోచ్చి
heal,హీల్,హైజస్
watson,వాట్సన్,వాట్సోన్
naayaku,నాయకు,నాయకు
todella,తోడేళ్ళ,తోడెల్ల్
washington,వాషింగ్టన్,వాషిిి్టటన్
waagwaadaaniki,వాగ్వాదానికి,వాగ్వాడామానికి
urdulo,ఉర్దూలో,ఉర్దులో
asthramulu,అస్త్రములు,అస్త్రములలల
poshinchaannaaru,పోషించాన్నారు,పోషినించాన్నారు
khandinchi,ఖండించి,ఖంంిించి
divyamyna,దివ్యమైన,డివ్యమయయ్న
pramanamulu,ప్రమాణములు,ప్రమమమములల
jaipur,జైపూర్,జైపుర్
paeda,పేడ,పేడా
kashtamie,కష్టమై,కష్టడడ
cheppalani,చెప్పాలని,చెప్పాకాని
rendintalu,రెండింతలు,రెందింటలల
terapaina,తెరపైన,తెరపైై
andamunu,అందమును,అందమును
muulikaa,మూలికా,మూలికా
portillo,పోర్టిల్లో,పోర్తిల్లలల
telchindi,తేల్చింది,తెల్చింది
melin,మేలిన్,మెలిన్
moradabad,మొరాదాబాద్,మోరాాబడడ
amer,అమీర్,అమరర్
vyavaharistondani,వ్యవహరిస్తోందని,వ్యవహహరరి్్తోందది
phaaloo,ఫాలో,ఫాలో
niraakarinchataanni,నిరాకరించటాన్ని,నిరాకరించటాన్ని
pandagaa,పండగా,పండగా
jarnalistulanu,జర్నలిస్టులను,జా్్నలిస్తులను
sijanlo,సీజన్లో,సిజన్లల
praarambhinchaaranna,ప్రారంభించారన్న,ప్రారంభంభించారన్నారన
hassan,హాసన్,హాసససా
ganibavinchi,ఘనీభవించి,గనన్పవించిిి
bathroomloni,బాత్రూంలోని,బాట్రోమోోలలిి
sarvasabhya,సర్వసభ్య,సర్వబబభర్య
laen,లేన్,లైన్
maddox,మ్యడ్డాక్స్,మాడ్డోక్
vestunnaarenti,వేస్తున్నారేంటి,వెస్తున్న్నారింటి
paasta,పాస్తా,పాస్త
taaraabaasov,తారాబాసోవ్,తారాబాషాసోవ
phalitaalato,ఫలితాలతో,ఫాిితాలతో
shmashanavatika,శ్మశానవాటిక,శ్మాషరనవకిి
rajahmundry,రాజమండ్రి,రాజహ్ముంట్్్్
yerpadenduku,ఏర్పడేందుకు,యరర్పడేందదకకక
paalpadindi,పాల్పడింది,పాల్పడింది
vintuu,వింటూ,వింటూ
paruvupoyi,పరువుపోయి,పరువుపోయిి
inc,ఇంక్,ఇం్్
piji,పిజి,పిజి
rockford,రాక్ఫోర్డ్,రోస్క్స్ర్్్్
mayuuram,మయూరం,మాయూరం
agnipramaadam,అగ్నిప్రమాదం,అగ్నిప్రమాడంద
adhyayanamu,అధ్యయనము,అధ్యయయనమమమ
dopidiki,దోపిడీకి,దోపిడికి
chanakya,చాణక్య,చనత్్ా
utthamamgaa,ఉత్తమంగా,ఉత్తమంంగగ
viswasaniiyamgaa,విశ్వసనీయంగా,విస్వసానియంగా
dongala,దొంగలా,దింగలల
devalayam,దేవాలయం,దివాలయం
dhadito,దాడితో,ధాిితో
miller,మిల్లెర్,మిల్లేర్
kunuku,కునుకు,కునుకుక
geraald,గెరాల్డ్,గెరాల్ల్
marche,మార్చే,మార్చే
innayya,ఇన్నయ్య,ఇన్నయ్య
undho,ఉందో,ఉంధి
unnadi,ఉన్నది,ఉన్నాిి
muulikala,మూలికల,మూలికలల
dopidee,దోపిడీ,దోపిడీ
saralata,సరళత,సరళత
bhatt,భట్,భట్
yamakinkarulu,యమకింకరులు,యమకింకరులు
vishwaasaalanu,విశ్వాసాలను,విశ్వాసాలను
impugaa,ఇంపుగా,ఇంపుగా
cheppukonnappatiki,చెప్పుకొన్నప్పటికీ,చెప్పుకొన్నప్పటికీ
bengaluru,బెంగళూరు,బెంగళూరు
dayton,డేటన్,డేటన్
mudadugula,మూడడుగుల,మూడడుగుల
vilekharulato,విలేఖరులతో,విలేఖరులతో
raaninchaadu,రాణించాడు,రాణించాడు
ochoa,ఒచోవా,ఒచోవా
kakeseeaar,కకేసీఆర్,కకేసీఆర్
september,సెప్టెంబర్,సెప్టెంబర్
hastal,హాస్టల్,హాస్టల్
divaan,దివాన్,దివాన్
gutti,గుట్టి,గుట్టి
panchakamu,పంచకము,పంచకము
berlin,బెర్లిన్,బెర్లిన్
sangli,సంగ్లీ,సంగ్లీ
holidays,హాలిడేస్,హాలిడేస్
dahlan,డహ్లాన్,డహ్లాన్
len,లేన్,లేన్
dhvaninche,ధ్వనించే,ధ్వనించే
nerasthulaku,నేరస్థులకు,నేరస్థులకు
vinaayakudu,వినాయకుడి,వినాయకుడి
gaayanii,గాయనీ,గాయనీ
chotulo,చోటులో,చోటులో
sanghaaniki,సంఘానికి,సంఘానికి
chaeyunu,చేయును,చేయును
gurtinchadagga,గుర్తించదగ్గ,గుర్తించదగ్గ
flynn,ఫ్లిన్,ఫ్లిన్
raajadhaanulu,రాజధానులు,రాజధానులు
pasco,పాస్కో,పాస్కో
eeloogaa,ఈలోగా,ఈలోగా
nersthulanu,నేరస్థులను,నేరస్థులను
diviteeni,దివిటీని,దివిటీని
funk,ఫంక్,ఫంక్
vijayaalanu,విజయాలను,విజయాలను
yellu,ఏళ్లు,యె్లు
mehra,మెహ్రా,మెహ్రా
chebutunnaamane,చెబుతున్నామనే,చెబుతున్నామనే
carey,క్యారీ,క్యారీ
madikeri,మదికెరి,మదికెరి
cheetu,చేటు,చేటు
darakhaastulu,దరఖాస్తులు,దరఖాస్తులు
prasaaraalaku,ప్రసారాలకు,ప్రసారాలకు
aghaani,అజ్ఞాని,అజ్ఞాని
keerthini,కీర్తిని,కీర్తిని
sampradinchaaru,సంప్రదించారు,సంప్రదించారు
podachupayi,పొడచూపాయి,పొడచూపాయి
shobhitudai,శోభితుడై,శోభితుడై
aalochistunnaamannaaru,ఆలోచిస్తున్నామన్నారు,ఆలోచిస్తున్నామన్నారు
reputunnaayi,రేపుతున్నాయి,రేపుతున్నాయి
anyapadesamga,అన్యాపదేశంగా,అన్యాపదేశంగా
raajavvato,రాజవ్వతో,రాజవ్వతో
dhaanya,ధాన్య,ధాన్య
telamgaanham,తెలంగాణం,తెలంగాణం
vedamunu,వేదమును,వేదమును
katnam,కట్నం,కట్నం
sthaapistunnayi,స్థాపిస్తున్నాయి,స్థాపిస్తున్నాయి
nerolac,నేరోలాక్,నేరోలాక్
tcns,టీసిఎన్ఎస్,టీసిఎన్ాస్
tisukellindani,తీసుకెళ్ళిందని,తిసుకెళెల్లిందని
pramaanhaalloe,ప్రమాణాల్లో,ప్రమాధధధాల్లో
germanlu,జర్మన్లు,గెర్మా్లలల
mahaadhevi,మహాదేవి,మహాధధధవవి
anusandhaanamai,అనుసంధానమై,అనుసంధానమమమమ
moote,మోతే,మూతీ
jeykumaran,జేకుమారణ్,జెస్కుమారర
sacramento,శాక్రమెంటో,సా్్యయేంతో
sarjari,సర్జరీ,సరరజారి
vivaralu,వివరాలు,వివరాలల
digaadu,దిగాడు,దిగాదు
contracts,కాంట్రాక్ట్స్,కాపటట్రాా్్్్
sirshikanu,శీర్షికను,సిర్షికగాు
traagatam,త్రాగటం,త్రాగతంం
boca,బోకా,బోక్
jaraganundi,జరగనుంది,జరగానుంది
cheppinantatikee,చెప్పినంతటికీ,చెప్పినినంటటికి
maargamlone,మార్గంలోనే,మార్గంలోలిన
vidhaalaina,విధాలైన,విధాలైమమ
sileendraalu,శిలీంద్రాలు,సిలీంద్రారాల
dharjee,దర్జీ,ధార్జీ
mentor,మెంటర్,మెంటిర్్
mani,మణి,మాని
shreemahavishnuvu,శ్రీమహావిష్ణువు,శ్రీమామావ్చ్్్ుుు
baadhapaddaadu,బాధపడ్డాడు,బాధపడ్దాదాు
ksheenataku,క్షీణతకు,క్షీణతతకక
pravartinchewaallu,ప్రవర్తించేవాళ్ళు,ప్రవర్సిిించేేాల్లు
baliga,బలిగా,బాిిగ
sarvooththama,సర్వోత్తమ,సా్్ుోో్టటడా
avutu,అవుతూ,అవుతు
akron,అక్రొన్,అక్రోన్
teacheru,టీచరు,తీఖచేరు
kaushik,కౌశిక్,కూషికి
saraikela,సరైకెల,సరైకేలా
roberts,రోబర్ట్స్,రోసార్్్సస
kanniyakumari,కన్నియాకుమారి,కన్నియకకమమరిని
haokip,హాకీప్,హాకిప్
kramamu,క్రమము,క్రామమమ
titan,టైటాన్,తిటనన
bhuj,భూజ్,భోజ్
upayoginchukovaalannaaru,ఉపయోగించుకోవాలన్నారు,ఉపయోగింంచుకకకననననా
kampose,కంపోజ్,కంపోస్
sampadalunna,సంపదలున్న,సంపడగలున్న
narsimhulu,నర్సింహులు,నార్సిమములల
saralamgaa,సరళంగా,సరలాగగా
delray,డెల్రే,దెల్రాయ
rashulu,రాశులు,రాషులు
naasthika,నాస్తిక,నాస్తిిి
saekhara,శేఖర,సైఖరర
aghnanapu,అజ్ఞానపు,అఘ్ననననప
penampai,పెనంపై,పెనంపై
tipputoo,తిప్పుతూ,తిప్పుతో
puraanhamu,పురాణము,పురాధమమమ
